African Studies
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
15749,AFRI,200,001,Lecture,3.000,"Introduction to African Studies.",TR,11:35 AM-12:55 PM,100,0,0,0,TBA,09/03-12/02,CURRIE 408/9,Active
7991,AFRI,401,001,Lecture,3.000,"Swahili Language and Culture.",MWF,05:05 PM-05:55 PM,40,0,0,0,"Angela  Ngaira",09/03-12/03,SH688 295,Active
,,,,,,,T,05:05 PM-05:55 PM,,,,,"Angela  Ngaira",12/03-12/03,SH688 295,Active
10268,AFRI,401,002,Laboratory,0.000,"Swahili Language and Culture.",,TBA,40,0,0,0,TBA,09/03-12/03,LEA 212,Active
15057,AFRI,480,001,Topics Course,3.000,"Honours Thesis.",,TBA,5,0,0,0,TBA,09/03-12/03,TBA,Active
6979,AFRI,499,001,Internship,3.000,"Arts Internships: African Studies.",,TBA,15,0,0,0,"John  Galaty",09/03-12/03,TBA,Active
12465,AFRI,499,002,Internship,3.000,"Arts Internships: African Studies.",,TBA,10,0,0,0,"Jon Dylan Soske",09/03-12/03,TBA,Active
Anthropology
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1515,ANTH,201,001,Lecture,3.000,"Prehistoric Archaeology.",TRF,01:35 PM-02:25 PM,188,15,2,13,"Michael  Bisson",09/03-12/02,LEA 26,Active
12601,ANTH,201,002,Midterm Exam,0.000,"Prehistoric Archaeology.",W,06:05 PM-08:55 PM,0,0,0,0,"Michael  Bisson",10/16-10/16,STBIO S1/4,Registration Not Required
,,,,,,,W,06:05 PM-08:55 PM,,,,,"Michael  Bisson",10/16-10/16,STBIO S1/3,Registration Not Required
1516,ANTH,202,001,Lecture,3.000,"Socio-Cultural Anthropology.",TR,02:35 PM-03:55 PM,333,26,13,13,"Edward Otto Kohn",09/03-12/02,ADAMS AUD,Active
9625,ANTH,206,001,Lecture,3.000,"Environment and Culture.",WF,04:05 PM-05:25 PM,188,16,3,13,TBA,09/03-12/03,LEA 26,Active
17189,ANTH,307,001,Lecture,3.000,"Andean Prehistory.",MW,08:35 AM-09:55 AM,40,4,1,3,"Nicole Claire Couture",09/03-12/03,SADB 1/12,Active
,,,,,,,T,08:35 AM-09:55 AM,,,,,"Nicole Claire Couture",12/03-12/03,SADB 1/12,Active
11796,ANTH,311,001,Lecture,3.000,"Primate Behaviour and Ecology.",TR,02:35 PM-03:55 PM,145,5,0,5,TBA,09/03-12/02,RPHYS 112,Active
17193,ANTH,312,001,Lecture,3.000,"Zooarchaeology.",TR,04:05 PM-05:25 PM,20,2,2,0,"James M  Savelle",09/03-12/02,LEA 819,Active
9628,ANTH,320,001,Lecture,3.000,"Social Evolution.",MW,10:05 AM-11:25 AM,60,5,0,5,"Jerome  Rousseau",09/03-12/03,ARTS 150,Active
,,,,,,,T,10:05 AM-11:25 AM,,,,,"Jerome  Rousseau",12/03-12/03,ARTS 150,Active
13802,ANTH,322,001,Lecture,3.000,"Social Change in Modern Africa.",T,01:05 PM-02:25 PM,200,10,0,10,TBA,09/03-09/03,SADB M-1,Active
,,,,,,,TR,01:05 PM-02:25 PM,,,,,TBA,09/04-09/25,MCMED 504,Active
,,,,,,,R,01:05 PM-02:25 PM,,,,,TBA,09/26-09/26,ADAMS AUD,Active
,,,,,,,TR,01:05 PM-02:25 PM,,,,,TBA,09/27-11/20,MCMED 504,Active
,,,,,,,R,01:05 PM-02:25 PM,,,,,TBA,11/21-11/21,ADAMS AUD,Active
,,,,,,,TR,01:05 PM-02:25 PM,,,,,TBA,11/22-12/02,MCMED 504,Active
15337,ANTH,325,001,Lecture,3.000,"Anthropology of the Self.",MW,02:35 PM-03:55 PM,60,5,4,1,"Margaret Elizabeth Stevenson",09/03-12/03,LEA 14,Active
,,,,,,,T,02:35 PM-03:55 PM,,,,,"Margaret Elizabeth Stevenson",12/03-12/03,LEA 14,Active
15335,ANTH,340,001,Lecture,3.000,"Middle Eastern Society and Culture.",MW,04:05 PM-05:25 PM,90,5,2,3,"Philip Carl  Salzman",09/03-12/03,CURRIE 305/6,Active
,,,,,,,T,04:05 PM-05:25 PM,,,,,"Philip Carl  Salzman",12/03-12/03,CURRIE 305/6,Active
1518,ANTH,352,001,Lecture,3.000,"History of Anthropological Theory.",WF,02:35 PM-03:55 PM,70,7,0,7,"Setrag  Manoukian",09/03-12/03,BURN 1B36,Active
7896,ANTH,357,001,Lecture,3.000,"Archaeological Methods.",TR,01:05 PM-02:25 PM,40,5,0,5,"Gwen Patrice  Bennett",09/03-12/02,LEA 210,Active
15338,ANTH,358,001,Lecture,3.000,"The Process of Anthropological Research.",TR,10:05 AM-11:25 AM,60,5,0,5,"Ismael  Vaccaro",09/03-12/02,LEA 14,Active
1519,ANTH,380,001,Reading Course,3.000,"Special Topic 1.",,TBA,25,0,0,0,TBA,09/03-12/03,TBA,Active
17229,ANTH,382,001,Topics Course,3.000,"Special Topic 3.",,TBA,25,0,0,0,TBA,09/03-12/03,TBA,Temporarily closed
15342,ANTH,408,001,Seminar,3.000,"Sensory Ethnography.",T,11:35 AM-02:25 PM,20,2,0,2,"Margaret Elizabeth Stevenson",09/03-12/02,PL3475 101,Active
17196,ANTH,419,001,Seminar,3.000,"Archaeology of Hunter-Gatherers.",F,08:35 AM-11:25 AM,20,2,0,2,"James M  Savelle",09/03-12/03,LEA 721,Active
8402,ANTH,423,001,Lecture,3.000,"Mind, Brain and Psychopathology.",MW,08:35 AM-09:55 AM,25,2,2,0,TBA,09/03-12/03,LEA 721,Active
,,,,,,,T,08:35 AM-09:55 AM,,,,,TBA,12/03-12/03,LEA 721,Active
17202,ANTH,426,001,Seminar,3.000,"Immigration and Culture.",MW,10:05 AM-11:25 AM,25,2,2,0,"Philip Carl  Salzman",09/03-12/03,LEA 721,Active
,,,,,,,T,10:05 AM-11:25 AM,,,,,"Philip Carl  Salzman",12/03-12/03,LEA 721,Active
