Anatomy & Cell Biology
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
8482,ANAT,182,001,Lecture,3.000,"Astrobiology.",MWF,01:35 PM-02:25 PM,75,0,0,0,"Hojatollah  Vali",01/06-04/11,SADB 2/36,Active
770,ANAT,212,001,Lecture,3.000,"Molecular Mechanisms of Cell Function.",MWF,10:35 AM-11:25 AM,200,0,0,0,"Arnim  Pause",01/06-04/11,MCMED 522,Active
771,ANAT,262,001,Lecture,3.000,"Introductory Molecular and Cell Biology.",TR,10:05 AM-11:25 AM,325,0,0,0,"John  Presley",01/06-04/11,ADAMS AUD,Active
772,ANAT,316,001,Lecture,3.000,"Human Visceral Anatomy.",TR,08:35 AM-09:25 AM,191,0,0,0,"Louis  Hermo",01/06-04/11,SADB M-1,Active
775,ANAT,316,002,Laboratory,0.000,"Human Visceral Anatomy.",R,09:35 AM-11:25 AM,100,0,0,0,"Louis  Hermo",01/06-04/11,SADB 2/49,Active
13089,ANAT,316,003,Laboratory,0.000,"Human Visceral Anatomy.",T,09:35 AM-11:25 AM,100,0,0,0,TBA,01/06-04/11,SADB 2/49,Active
5715,ANAT,322,001,Lecture,3.000,"Neuroendocrinology.",M,09:35 AM-10:25 AM,135,0,0,0,"Claire Dominique Walker",01/06-04/11,SADB 2/36,Active
,,,,,,,R,09:35 AM-11:25 AM,,,,,"Claire Dominique Walker",01/06-04/11,STBIO S1/3,Active
6442,ANAT,396,001,Project,3.000,"Undergraduate Research Project.",,TBA,20,0,0,0,"Craig A.  Mandato",01/06-04/11,TBA,Active
7871,ANAT,416,001,Lecture,3.000,"Development, Disease and Regeneration.",TR,10:05 AM-11:25 AM,126,0,0,0,"Craig A.  Mandato, Eugene  Daniels",01/06-04/11,SADB 2/36,Active
848,ANAT,432D2,001,Project,4.500,"Honours Research Project.",,TBA,20,0,0,0,"Fiona Kay  Bedford",01/06-04/11,TBA,Active
780,ANAT,458,001,Lecture,3.000,"Membranes and Cellular Signaling.",MW,10:35 AM-11:25 AM,40,0,0,0,TBA,01/06-04/11,MCMED 1034,Active
,,,,,,,F,10:35 AM-11:25 AM,,,,,TBA,01/06-04/11,STBIO N2/2,Active
3961,ANAT,499,001,Tutorial,1.000,"Supervised Library Research.",,TBA,5,0,0,0,"Craig A.  Mandato",01/06-04/11,TBA,Active
781,ANAT,541,001,Lecture,3.000,"Cell and Molecular Biology of Aging.",W,02:35 PM-05:25 PM,35,0,0,0,"Stephanie  Lehoux, Chantal  Autexier",01/06-04/11,SADB 2/36,Active
