Accounting,,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
3093,ACCT,351,1,Lecture,3,Intermediate Financial Accounting 1.,MW,01:05 PM-02:25 PM,45,0,0,0,Erica  Pimentel,01/06-04/11,BRONF 001,Active
13288,ACCT,351,2,Lecture,3,Intermediate Financial Accounting 1.,TR,10:05 AM-11:25 AM,55,0,0,0,Erica  Pimentel,01/06-04/11,BRONF 002,Active
4581,ACCT,351,781,Lecture,3,Intermediate Financial Accounting 1.,R,06:05 PM-08:55 PM,60,0,0,0,TBA,01/09-04/10,ARTS 260,Temporarily closed
3581,ACCT,352,1,Lecture,3,Intermediate Financial Accounting 2.,MW,01:05 PM-02:25 PM,50,0,0,0,Zvi  Singer,01/06-04/11,BRONF 179,Active
3094,ACCT,352,2,Lecture,3,Intermediate Financial Accounting 2.,MW,10:05 AM-11:25 AM,50,0,0,0,Zvi  Singer,01/06-04/11,BRONF 179,Active
893,ACCT,352,3,Lecture,3,Intermediate Financial Accounting 2.,MW,08:35 AM-09:55 AM,50,0,0,0,Zvi  Singer,01/06-04/11,BRONF 001,Temporarily closed
4582,ACCT,352,781,Lecture,3,Intermediate Financial Accounting 2.,R,06:05 PM-08:55 PM,50,0,0,0,TBA,01/09-04/10,RPHYS 114,Temporarily closed
5617,ACCT,354,1,Lecture,3,Financial Statement Analysis.,TR,02:35 PM-03:55 PM,50,0,0,0,Steve  Fortin,01/06-04/11,BRONF 410,Active
4597,ACCT,354,2,Lecture,3,Financial Statement Analysis.,TR,01:05 PM-02:25 PM,50,0,0,0,Zvi  Singer,01/06-04/11,BRONF 002,Active
11746,ACCT,354,761,Lecture,3,Financial Statement Analysis.,T,06:05 PM-08:55 PM,50,0,0,0,TBA,01/07-04/08,TBA,Temporarily closed
3582,ACCT,361,51,Lecture,3,Management Accounting.,M,06:05 PM-08:55 PM,50,0,0,0,Pavlo  Kalyta,01/06-04/11,BRONF 210,Active
12297,ACCT,361,761,Lecture,3,Management Accounting.,W,06:05 PM-08:55 PM,40,0,0,0,TBA,01/07-04/08,TBA,Temporarily closed
900,ACCT,362,1,Lecture,3,Cost Accounting.,TR,02:35 PM-03:55 PM,50,0,0,0,Jingjing  Zhang,01/06-04/11,BRONF 210,Active
3095,ACCT,362,2,Lecture,3,Cost Accounting.,TR,11:35 AM-12:55 PM,50,0,0,0,Jingjing  Zhang,01/06-04/11,BRONF 179,Active
3096,ACCT,362,3,Lecture,3,Cost Accounting.,TR,08:35 AM-09:55 AM,50,0,0,0,TBA,01/06-04/11,BRONF 001,Active
12300,ACCT,362,751,Lecture,3,Cost Accounting.,M,06:05 PM-08:55 PM,40,0,0,0,TBA,01/06-04/07,ENGTR 0100,Temporarily closed
901,ACCT,385,1,Lecture,3,Principles of Taxation.,MW,04:05 PM-05:25 PM,50,0,0,0,Larry  Goldsman,01/06-04/11,BRONF 210,Active
3148,ACCT,385,2,Lecture,3,Principles of Taxation.,TR,11:35 AM-12:55 PM,50,0,0,0,Larry  Goldsman,01/06-04/11,BRONF 210,Active
4201,ACCT,385,751,Lecture,3,Principles of Taxation.,M,06:05 PM-08:55 PM,60,0,0,0,TBA,01/06-04/07,WONG 1020,Temporarily closed
4598,ACCT,452,81,Lecture,3,Financial Reporting Valuation.,R,06:05 PM-08:55 PM,30,0,0,0,TBA,01/06-04/11,BRONF 045,Active
5618,ACCT,453,1,Lecture,3,Advanced Financial Accounting.,MW,08:35 AM-09:55 AM,50,0,0,0,Julia  Scott,01/06-04/11,BRONF 179,Active
4202,ACCT,453,771,Lecture,3,Advanced Financial Accounting.,W,06:05 PM-08:55 PM,50,0,0,0,TBA,01/08-04/09,RPHYS 115,Temporarily closed
902,ACCT,455,1,Lecture,3,Development of Accounting Thought.,MW,11:35 AM-12:55 PM,50,0,0,0,Ralph  Cecere,01/06-04/11,BRONF 179,Active
5922,ACCT,455,2,Lecture,3,Development of Accounting Thought.,MW,02:35 PM-03:55 PM,48,0,0,0,Ralph  Cecere,01/06-04/11,BRONF 046,Active
4500,ACCT,463,1,Lecture,3,Management Control.,T,08:35 AM-11:25 AM,50,0,0,0,Philippe  Levy,01/06-04/11,BRONF 423,Active
13420,ACCT,463,781,Lecture,3,Management Control.,R,06:05 PM-08:55 PM,30,0,0,0,TBA,01/09-04/10,ENGTR 0070,Temporarily closed
9037,ACCT,471,1,Lecture,3,Non-Profit Accounting.,TR,02:35 PM-03:55 PM,40,0,0,0,TBA,01/06-04/11,BRONF 011,Active
9054,ACCT,475,1,Lecture,3,Principles of Auditing.,T,02:35 PM-05:25 PM,55,0,0,0,Ralph  Cecere,01/06-04/11,ARTS 150,Active
4585,ACCT,475,761,Lecture,3,Principles of Auditing.,T,06:05 PM-08:55 PM,65,0,0,0,TBA,01/07-04/08,TBA,Temporarily closed
10839,ACCT,476,81,Lecture,3,Internal Auditing.,R,06:05 PM-08:55 PM,35,0,0,0,TBA,01/06-04/11,BRONF 011,Active
9762,ACCT,477,1,Lecture,3,External Auditing.,MW,11:35 AM-12:55 PM,35,0,0,0,TBA,01/06-04/11,BRONF 178,Active
4206,ACCT,477,771,Lecture,3,External Auditing.,W,06:05 PM-08:55 PM,50,0,0,0,TBA,01/08-04/09,TBA,Temporarily closed
5619,ACCT,486,1,Lecture,3,Business Taxation 2.,MW,02:35 PM-03:55 PM,50,0,0,0,Larry  Goldsman,01/06-04/11,BRONF 001,Active
4207,ACCT,486,751,Lecture,3,Business Taxation 2.,M,06:05 PM-08:55 PM,50,0,0,0,TBA,01/06-04/07,RPHYS 112,Temporarily closed
12894,ACCT,618,1,Lecture,3,Financial Reporting: Structure & Analysis.,MW,10:05 AM-11:25 AM,45,0,0,0,Steve  Fortin,01/06-04/11,BRONF 340,Active
2113,ACCT,619,81,Lecture,3,Financial Reporting: Valuation.,R,06:05 PM-08:55 PM,5,0,0,0,TBA,01/06-04/11,BRONF 045,Active
4589,ACCT,622,1,Lecture,3,Intermediate Financial Reporting 1.,MW,01:05 PM-02:25 PM,5,0,0,0,Erica  Pimentel,01/06-04/11,BRONF 001,Active
7196,ACCT,660D2,51,Internship,3,Internship.,M,06:05 PM-08:55 PM,90,0,0,0,Julia  Scott,01/06-04/11,BRONF 422,Active
10933,ACCT,661D2,1,Case Study,3,Practicum.,,TBA,15,0,0,0,Jessica  Pathy,01/06-04/11,TBA,Active
879,ACCT,685,61,Lecture,4,Engagement Management.,T,06:05 PM-08:55 PM,70,0,0,0,Erica  Pimentel,01/06-04/11,BRONF 002,Active
Biology (Agric & Envir Sc),,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
8567,AEBI,122,1,Lecture,3,Cell Biology.,TR,02:35 PM-03:55 PM,90,0,0,0,Alice D Cherestes,01/06-04/11,RAYMND 2-045,Active
7704,AEBI,211,1,Lecture,3,Organisms 2.,MWF,01:35 PM-02:25 PM,99,0,0,0,David James  Lewis,01/06-04/11,CENTEN 1-163,Active
7705,AEBI,211,2,Laboratory,0,Organisms 2.,W,02:35 PM-05:25 PM,33,0,0,0,David James  Lewis,01/06-02/21,MACSTW B-023,Active
8152,AEBI,211,3,Laboratory,0,Organisms 2.,R,02:35 PM-05:25 PM,33,0,0,0,David James  Lewis,01/06-02/21,MACSTW B-023,Active
10719,AEBI,211,4,Laboratory,0,Organisms 2.,T,02:35 PM-05:25 PM,33,0,0,0,David James  Lewis,01/06-02/21,MACSTW B-023,Active
7748,AEBI,212,1,Lecture,3,Evolution and Phylogeny.,WF,08:35 AM-09:55 AM,102,0,0,0,Terry A  Wheeler,01/06-04/11,RAYMND 2-045,Active
9664,AEBI,212,2,Laboratory,0,Evolution and Phylogeny.,W,02:35 PM-05:25 PM,34,0,0,0,Terry A  Wheeler,02/24-04/11,MACSTW B-023,Active
9665,AEBI,212,3,Laboratory,0,Evolution and Phylogeny.,R,02:35 PM-05:25 PM,34,0,0,0,Terry A  Wheeler,02/24-04/11,MACSTW B-023,Active
10720,AEBI,212,4,Laboratory,0,Evolution and Phylogeny.,T,02:35 PM-05:25 PM,34,0,0,0,Terry A  Wheeler,02/24-04/11,MACSTW B-023,Active
Chemistry (Agric&EnvirSci),,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
7743,AECH,111,1,Lecture,4,General Chemistry 2.,W,02:35 PM-03:55 PM,100,0,0,0,Alice D Cherestes,01/06-04/11,MACSTW B-016,Active
,,,,,,,R,10:05 AM-11:25 AM,,,,,Alice D Cherestes,01/06-04/11,MACSTW B-016,Active
7745,AECH,111,2,Laboratory,0,General Chemistry 2.,F,09:35 AM-12:25 PM,50,0,0,0,Alice D Cherestes,01/06-04/11,MACSTW B-031,Active
7746,AECH,111,3,Laboratory,0,General Chemistry 2.,F,02:35 PM-05:25 PM,50,0,0,0,Alice D Cherestes,01/06-04/11,MACSTW B-031,Active
7754,AECH,111,4,Tutorial,0,General Chemistry 2.,W,09:35 AM-10:25 AM,50,0,0,0,Alice D Cherestes,01/06-04/11,MACSTW B-016,Active
13101,AECH,111,5,Tutorial,0,General Chemistry 2.,W,08:35 AM-09:25 AM,50,0,0,0,Alice D Cherestes,01/06-04/11,MACSTW B-016,Active
9563,AECH,119,1,Laboratory,1,General Chemistry Laboratory 2.,,TBA,10,0,0,0,Alice D Cherestes,01/06-04/11,MACSTW B-031,Active
English (Agric & Envir Sc),,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
7837,AEHM,205,1,Lecture,3,Science Literacy.,MWF,12:35 PM-01:25 PM,50,0,0,0,"Natalie Heather  Waters, Carole  Newman",01/06-04/11,RAYMND 3-048,Active
7863,AEHM,205,2,Laboratory,0,Science Literacy.,W,02:35 PM-05:25 PM,49,0,0,0,"Natalie Heather  Waters, Carole  Newman",01/06-04/11,MACSTW 2-029,Active
,,,,,,,W,02:35 PM-05:25 PM,,,,,"Natalie Heather  Waters, Carole  Newman",01/06-04/11,MACSTW 2-028,Active
10712,AEHM,205,3,Break-Out Room,0,Science Literacy.,W,02:35 PM-05:25 PM,25,0,0,0,"Natalie Heather  Waters, Carole  Newman",01/06-04/11,RAYMND 4-046/048,Registration Not Required
10713,AEHM,205,4,Break-Out Room,0,Science Literacy.,TBA,TBA,25,0,0,0,TBA,01/06-04/11,TBA,Cancelled
1380,AEHM,330,1,Lecture,3,Academic and Scientific Writing.,TBA,TBA,18,0,0,0,TBA,01/06-04/11,TBA,Cancelled
Mathematics (Agric&Envir Sci),,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1224,AEMA,102,1,Lecture,4,Calculus 2.,TR,01:05 PM-02:25 PM,135,0,0,0,John F  Hayes,01/06-04/11,RAYMND 2-046,Active
2198,AEMA,102,2,Conference,0,Calculus 2.,MW,01:35 PM-02:25 PM,135,0,0,0,John F  Hayes,01/06-04/11,RAYMND 2-045,Active
3108,AEMA,305,1,Lecture,3,Differential Equations.,WF,04:05 PM-05:25 PM,40,0,0,0,Marcia E  Knutt,01/06-04/11,MACSTW B-016,Active
3109,AEMA,305,2,Conference,0,Differential Equations.,T,01:05 PM-02:25 PM,40,0,0,0,Marcia E  Knutt,01/06-04/11,MACSTW B-016,Active
1225,AEMA,310,1,Lecture,3,Statistical Methods 1.,MW,08:35 AM-09:55 AM,100,0,0,0,"Valérie  Gravel, Pierre R L  Dutilleul",01/06-04/11,RAYMND 2-046,Active
1226,AEMA,310,2,Laboratory,0,Statistical Methods 1.,T,11:35 AM-01:25 PM,28,0,0,0,"Valérie  Gravel, Pierre R L  Dutilleul",01/06-04/11,MACSTW 2-029,Active
,,,,,,,T,11:35 AM-01:25 PM,,,,,"Valérie  Gravel, Pierre R L  Dutilleul",01/06-04/11,MACSTW 2-028,Active
1227,AEMA,310,3,Laboratory,0,Statistical Methods 1.,M,02:35 PM-04:25 PM,28,0,0,0,"Valérie  Gravel, Pierre R L  Dutilleul",01/06-04/11,MACSTW 2-029,Active
,,,,,,,M,02:35 PM-04:25 PM,,,,,"Valérie  Gravel, Pierre R L  Dutilleul",01/06-04/11,MACSTW 2-028,Active
1228,AEMA,310,4,Laboratory,0,Statistical Methods 1.,F,11:35 AM-01:25 PM,28,0,0,0,"Valérie  Gravel, Pierre R L  Dutilleul",01/06-04/11,MACSTW 2-029,Active
,,,,,,,F,11:35 AM-01:25 PM,,,,,"Valérie  Gravel, Pierre R L  Dutilleul",01/06-04/11,MACSTW 2-028,Active
3544,AEMA,310,5,Laboratory,0,Statistical Methods 1.,F,08:35 AM-10:25 AM,28,0,0,0,"Valérie  Gravel, Pierre R L  Dutilleul",01/06-04/11,MACSTW 2-029,Active
,,,,,,,F,08:35 AM-10:25 AM,,,,,"Valérie  Gravel, Pierre R L  Dutilleul",01/06-04/11,MACSTW 2-028,Active
8910,AEMA,403,1,Stage,3,Environmetrics Stage.,,TBA,10,0,0,0,Pierre R L  Dutilleul,01/06-04/11,TBA,Active
12970,AEMA,411,1,Lecture,3,Experimental Designs 01.,TR,02:35 PM-03:55 PM,10,0,0,0,Pierre R L  Dutilleul,01/06-04/11,RAYMND 3-011,Active
12971,AEMA,611,1,Lecture,3,Experimental Designs 1.,TR,02:35 PM-03:55 PM,40,0,0,0,Pierre R L  Dutilleul,01/06-04/11,RAYMND 3-011,Active
12972,AEMA,611,2,Conference,0,Experimental Designs 1.,,TBA,40,0,0,0,Pierre R L  Dutilleul,01/06-04/11,TBA,Active
Physics (Agric & Envir Sci),,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1344,AEPH,114,1,Lecture,4,Introductory Physics 2.,TR,04:05 PM-05:25 PM,144,0,0,0,Marcia E  Knutt,01/06-04/11,RAYMND 2-045,Active
1345,AEPH,114,2,Laboratory,0,Introductory Physics 2.,M,03:35 PM-05:25 PM,48,0,0,0,Marcia E  Knutt,01/06-04/11,MACSTW B-016,Active
1353,AEPH,114,3,Laboratory,0,Introductory Physics 2.,F,08:35 AM-10:25 AM,48,0,0,0,Marcia E  Knutt,01/06-04/11,MACSTW B-016,Active
8590,AEPH,114,4,Laboratory,0,Introductory Physics 2.,M,08:35 AM-10:25 AM,24,0,0,0,Marcia E  Knutt,01/06-04/11,MACSTW B-016,Active
7082,AEPH,114,5,Tutorial,0,Introductory Physics 2.,F,01:05 PM-02:25 PM,60,0,0,0,Marcia E  Knutt,01/06-04/11,MACSTW B-016,Active
12689,AEPH,114,6,Tutorial,0,Introductory Physics 2.,T,08:35 AM-09:55 AM,84,0,0,0,Marcia E  Knutt,01/06-04/11,MACSTW B-016,Active
5977,AEPH,115,1,Lecture,4,Physics 2.,TR,04:05 PM-05:25 PM,24,0,0,0,Marcia E  Knutt,01/06-04/11,RAYMND 2-045,Active
5978,AEPH,115,2,Laboratory,0,Physics 2.,M,08:35 AM-10:25 AM,24,0,0,0,Marcia E  Knutt,01/06-04/11,MACSTW B-016,Active
