Student Services Prep Activity,,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
18294,AAAA,100,1,Student Services Prep Activity,0,Academic Integrity Tutorial,,TBA,9999,0,0,0,"Vanessa  Hansen, Rittu  Sehgal, Clara  Spadafora, Heidi  Emami, Fiorella  Lisi",09/03-12/03,TBA,Active
Accounting,,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
925,ACCT,351,1,Lecture,3,Intermediate Financial Accounting 1.,MW,10:05 AM-11:25 AM,45,0,0,0,Karen  Zajdman-Borden,09/03-12/03,BRONF 001,Active
,,,,,,,T,10:05 AM-11:25 AM,,,,,Karen  Zajdman-Borden,12/03-12/03,BRONF 001,Active
3437,ACCT,351,2,Lecture,3,Intermediate Financial Accounting 1.,MW,08:35 AM-09:55 AM,50,0,0,0,Ryan Adam Abrams,09/03-12/03,BRONF 179,Active
,,,,,,,T,08:35 AM-09:55 AM,,,,,Ryan Adam Abrams,12/03-12/03,BRONF 179,Active
3438,ACCT,351,3,Lecture,3,Intermediate Financial Accounting 1.,MW,02:35 PM-03:55 PM,50,0,0,0,Karen  Zajdman-Borden,09/03-12/03,BRONF 002,Active
,,,,,,,T,02:35 PM-03:55 PM,,,,,Karen  Zajdman-Borden,12/03-12/03,BRONF 002,Active
5542,ACCT,351,4,Lecture,3,Intermediate Financial Accounting 1.,MW,04:05 PM-05:25 PM,43,0,0,0,Karen  Zajdman-Borden,09/03-12/03,BRONF 011,Active
,,,,,,,T,04:05 PM-05:25 PM,,,,,Karen  Zajdman-Borden,12/03-12/03,BRONF 011,Active
5335,ACCT,351,781,Lecture,3,Intermediate Financial Accounting 1.,R,06:05 PM-08:55 PM,65,0,0,0,Ryan Adam Abrams,09/03-12/03,ARTS 145,Active
5127,ACCT,352,1,Lecture,3,Intermediate Financial Accounting 2.,MW,04:05 PM-05:25 PM,45,0,0,0,Ralph  Cecere,09/03-12/03,BRONF 179,Active
,,,,,,,T,04:05 PM-05:25 PM,,,,,Ralph  Cecere,12/03-12/03,BRONF 179,Active
5362,ACCT,352,781,Lecture,3,Intermediate Financial Accounting 2.,R,06:05 PM-08:55 PM,48,0,0,0,Lynn  Degrace,09/03-12/03,ENGTR 0060,Active
5385,ACCT,354,1,Lecture,3,Financial Statement Analysis.,TR,11:35 AM-12:55 PM,35,0,0,0,Sanjian  Zhang,09/03-12/02,BRONF 178,Active
9778,ACCT,354,2,Lecture,3,Financial Statement Analysis.,TR,01:05 PM-02:25 PM,49,0,0,0,Sanjian  Zhang,09/03-12/02,BRONF 045,Active
15548,ACCT,354,761,Lecture,3,Financial Statement Analysis.,T,06:05 PM-08:55 PM,28,0,0,0,Lynn  Degrace,09/03-12/02,ENGTR 2120,Active
926,ACCT,361,1,Lecture,3,Management Accounting.,TR,08:35 AM-09:55 AM,40,0,0,0,Walter  Moschella,09/03-12/02,BRONF 045,Temporarily closed
3439,ACCT,361,2,Lecture,3,Management Accounting.,TR,04:05 PM-05:25 PM,55,0,0,0,Walter  Moschella,09/03-12/02,BRONF 002,Active
17115,ACCT,361,3,Lecture,3,Management Accounting.,TR,10:05 AM-11:25 AM,55,0,0,0,Walter  Moschella,09/03-12/02,BRONF 002,Active
4027,ACCT,361,81,Lecture,3,Management Accounting.,R,06:05 PM-08:55 PM,40,0,0,0,Walter  Moschella,09/03-12/03,BRONF 179,Active
16118,ACCT,361,761,Lecture,3,Management Accounting.,T,06:05 PM-08:55 PM,50,0,0,0,Domenic  Giaccari,09/03-12/02,ENGTR 0070,Active
11755,ACCT,362,1,Lecture,3,Cost Accounting.,MW,10:05 AM-11:25 AM,50,0,0,0,Philippe  Levy,09/03-12/03,BRONF 045,Active
,,,,,,,T,10:05 AM-11:25 AM,,,,,Philippe  Levy,12/03-12/03,BRONF 045,Active
16115,ACCT,362,751,Lecture,3,Cost Accounting.,M,06:05 PM-08:55 PM,40,0,0,0,Deirdre  Lapointe,09/09-12/02,ENGMD 276,Active
,,,,,,,T,06:05 PM-08:55 PM,,,,,Deirdre  Lapointe,12/03-12/03,ENGMD 276,Active
3465,ACCT,385,1,Lecture,3,Principles of Taxation.,TR,01:05 PM-02:25 PM,50,0,0,0,Larry  Goldsman,09/03-12/02,BRONF 179,Active
5546,ACCT,385,2,Lecture,3,Principles of Taxation.,TR,02:35 PM-03:55 PM,50,0,0,0,Alexandra  Gauvin Oligny,09/03-12/02,BRONF 001,Active
4065,ACCT,385,751,Lecture,3,Principles of Taxation.,M,06:05 PM-08:55 PM,50,0,0,0,Joseph N. Armanious,09/03-12/03,RPHYS 115,Active
,,,,,,,T,06:05 PM-08:55 PM,,,,,Joseph N. Armanious,12/03-12/03,RPHYS 115,Active
17118,ACCT,434,1,Lecture,3,Topics in Accounting 1.,TBA,TBA,25,0,0,0,TBA,09/03-12/03,TBA,Cancelled
4003,ACCT,453,1,Lecture,3,Advanced Financial Accounting.,TR,11:35 AM-12:55 PM,50,0,0,0,Julia  Scott,09/03-12/02,BRONF 210,Active
4066,ACCT,453,771,Lecture,3,Advanced Financial Accounting.,W,06:05 PM-08:55 PM,50,0,0,0,Kevin Paul  Parent,09/03-12/03,BURN 1B39,Active
6516,ACCT,455,1,Lecture,3,Development of Accounting Thought.,M,11:35 AM-02:25 PM,35,0,0,0,Ralph  Cecere,09/03-12/03,BRONF 045,Active
,,,,,,,T,11:35 AM-02:25 PM,,,,,Ralph  Cecere,12/03-12/03,BRONF 045,Active
8066,ACCT,455,781,Lecture,3,Development of Accounting Thought.,R,06:05 PM-08:55 PM,40,0,0,0,Roman James Susel,09/03-12/03,BURN 1B39,Active
5278,ACCT,463,1,Lecture,3,Management Control.,W,11:35 AM-02:25 PM,49,0,0,0,Philippe  Levy,09/03-12/03,BRONF 045,Active
928,ACCT,475,1,Lecture,3,Principles of Auditing.,TR,02:35 PM-03:55 PM,55,0,0,0,Sanjian  Zhang,09/03-12/02,BRONF 179,Active
4004,ACCT,475,2,Lecture,3,Principles of Auditing.,TBA,TBA,35,0,0,0,TBA,09/03-12/03,TBA,Cancelled
5365,ACCT,475,761,Lecture,3,Principles of Auditing.,T,06:05 PM-08:55 PM,20,0,0,0,Kevin Paul  Parent,09/03-12/02,LEA 110,Active
15350,ACCT,477,771,Lecture,3,External Auditing.,W,06:05 PM-08:55 PM,40,0,0,0,TBA,09/03-12/03,BURN 1B36,Cancelled
2360,ACCT,486,1,Lecture,3,Business Taxation 2.,MW,10:05 AM-11:25 AM,45,0,0,0,Larry  Goldsman,09/03-12/03,BRONF 046,Active
,,,,,,,T,10:05 AM-11:25 AM,,,,,Larry  Goldsman,12/03-12/03,BRONF 046,Active
4005,ACCT,486,2,Lecture,3,Business Taxation 2.,TR,10:05 AM-11:25 AM,45,0,0,0,Larry  Goldsman,09/03-12/02,BRONF 046,Active
4068,ACCT,486,751,Lecture,3,Business Taxation 2.,M,06:05 PM-08:55 PM,45,0,0,0,Jack  Triassi,09/03-12/03,WONG 1020,Active
,,,,,,,T,06:05 PM-08:55 PM,,,,,Jack  Triassi,12/03-12/03,WONG 1020,Active
11483,ACCT,486,754,Make up Class,0,Business Taxation 2.,,TBA,0,0,0,0,TBA,09/03-12/03,TBA,Registration Not Required
6623,ACCT,622,1,Lecture,3,Intermediate Financial Reporting 1.,MW,10:05 AM-11:25 AM,5,0,0,0,Karen  Zajdman-Borden,09/03-12/03,BRONF 001,Active
,,,,,,,T,10:05 AM-11:25 AM,,,,,Karen  Zajdman-Borden,12/03-12/03,BRONF 001,Active
5379,ACCT,623,1,Lecture,3,Intermediate Financial Reporting 2.,MW,04:05 PM-05:25 PM,5,0,0,0,Ralph  Cecere,09/03-12/03,BRONF 179,Active
,,,,,,,T,04:05 PM-05:25 PM,,,,,Ralph  Cecere,12/03-12/03,BRONF 179,Active
7297,ACCT,624,81,Lecture,3,Management Accounting: Planning & Control.,R,06:05 PM-08:55 PM,5,0,0,0,Walter  Moschella,09/03-12/02,BRONF 179,Active
14109,ACCT,651D2,1,Lecture,1.5,Performance Measurement and Reporting.,,TBA,75,0,0,0,"Steve  Fortin, Erica  Pimentel, James  Kane",09/03-12/03,TBA,Active
931,ACCT,655,71,Lecture,3,Assurance.,W,06:05 PM-08:55 PM,70,0,0,0,"Julia  Scott, Mariève  H_roux, Eugenia  Bouras",09/03-12/02,BRONF 422,Active
14110,ACCT,657D2,1,Lecture,2,Governance and Control.,,TBA,75,0,0,0,"Corey Anne  Bloom, Samantha  Welscheid, Mariève  H_roux",09/03-12/03,TBA,Active
14111,ACCT,659D2,1,Lecture,1.5,Business Analysis & Communications.,,TBA,75,0,0,0,"Julia  Scott, Diana Roccarosa Discepola, Ryan Adam Abrams",09/03-12/03,TBA,Active
8693,ACCT,660D1,51,Internship,3,Internship.,M,06:05 PM-08:55 PM,90,0,0,0,Julia  Scott,09/03-12/03,BRONF 422,Active
,,,,,,,T,06:05 PM-08:55 PM,,,,,Julia  Scott,12/03-12/03,BRONF 422,Active
14112,ACCT,661D1,1,Case Study,3,Practicum.,,TBA,15,0,0,0,"Julia  Scott, Jessica  Pathy",09/03-12/03,TBA,Active
933,ACCT,683,61,Lecture,3,Tax Planning & Decision Making.,T,06:05 PM-08:55 PM,70,0,0,0,"Julia  Scott, Bob Patrick Joseph Gendron, Alexandra  Gauvin Oligny, Erica Robyn Lawee",09/03-12/02,BRONF 422,Active
17119,ACCT,690,1,Lecture,3,Advanced Topics in Accounting 1.,TBA,TBA,5,0,0,0,TBA,09/03-12/03,TBA,Cancelled
14398,ACCT,706,1,Seminar,3,Research Design in Accounting.,M,09:35 AM-12:25 PM,10,0,0,0,"Pavlo  Kalyta, Steve  Fortin",09/03-12/03,BRONF 310,Active
,,,,,,,T,09:35 AM-12:25 PM,,,,,"Pavlo  Kalyta, Steve  Fortin",12/03-12/03,BRONF 310,Active
Biology (Agric & Envir Sc),,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1317,AEBI,120,1,Lecture,3,General Biology.,MWF,02:35 PM-03:25 PM,120,0,0,0,Gary Brian  Dunphy,09/03-12/03,RAYMND 2-046,Active
,,,,,,,T,02:35 PM-03:25 PM,,,,,Gary Brian  Dunphy,12/03-12/03,RAYMND 2-046,Active
1318,AEBI,120,2,Laboratory,0,General Biology.,R,08:35 AM-10:25 AM,20,0,0,0,Gary Brian  Dunphy,09/03-12/03,MACSTW B-032,Active
1319,AEBI,120,3,Laboratory,0,General Biology.,T,03:35 PM-05:25 PM,20,0,0,0,Gary Brian  Dunphy,09/03-12/02,MACSTW B-023,Active
2949,AEBI,120,4,Laboratory,0,General Biology.,F,08:35 AM-10:25 AM,20,0,0,0,Gary Brian  Dunphy,09/03-12/03,MACSTW B-032,Active
7057,AEBI,120,5,Laboratory,0,General Biology.,W,03:35 PM-05:25 PM,20,0,0,0,Gary Brian  Dunphy,09/03-12/03,MACSTW B-023,Active
7061,AEBI,120,6,Laboratory,0,General Biology.,F,03:35 PM-05:25 PM,20,0,0,0,Gary Brian  Dunphy,09/03-12/03,MACSTW B-023,Active
12977,AEBI,120,7,Laboratory,0,General Biology.,R,03:35 PM-05:25 PM,20,0,0,0,Gary Brian  Dunphy,09/03-12/03,MACSTW B-023,Active
16418,AEBI,120,8,Laboratory,0,General Biology.,F,08:35 AM-10:25 AM,20,0,0,0,Gary Brian  Dunphy,09/03-12/03,MACSTW B-023,Temporarily closed
9624,AEBI,210,1,Lecture,3,Organisms 1.,WF,11:35 AM-12:25 PM,168,0,0,0,Jaswinder  Singh,09/03-12/03,RAYMND 2-045,Active
9649,AEBI,210,2,Laboratory,0,Organisms 1.,T,02:35 PM-05:25 PM,28,0,0,0,Jaswinder  Singh,09/03-12/02,MACSTW B-032,Active
9650,AEBI,210,3,Laboratory,0,Organisms 1.,M,02:35 PM-05:25 PM,28,0,0,0,Jaswinder  Singh,09/03-12/03,MACSTW B-027,Active
,,,,,,,T,02:35 PM-05:25 PM,,,,,Jaswinder  Singh,12/03-12/03,MACSTW B-027,Active
9651,AEBI,210,4,Laboratory,0,Organisms 1.,M,02:35 PM-05:25 PM,28,0,0,0,Jaswinder  Singh,09/03-12/03,MACSTW B-032,Active
,,,,,,,T,02:35 PM-05:25 PM,,,,,Jaswinder  Singh,12/03-12/03,MACSTW B-032,Active
10113,AEBI,210,5,Laboratory,0,Organisms 1.,T,02:35 PM-05:25 PM,28,0,0,0,Jaswinder  Singh,09/03-12/02,MACSTW B-027,Active
12752,AEBI,210,6,Laboratory,0,Organisms 1.,T,10:05 AM-12:55 PM,28,0,0,0,Jaswinder  Singh,09/03-12/02,MACSTW B-032,Active
12753,AEBI,210,7,Laboratory,0,Organisms 1.,T,10:05 AM-12:55 PM,28,0,0,0,Jaswinder  Singh,09/03-12/02,MACSTW B-027,Active
Chemistry (Agric&EnvirSci),,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
9736,AECH,110,1,Lecture,4,General Chemistry 1.,TR,11:35 AM-12:55 PM,145,0,0,0,Alice D Cherestes,09/03-12/02,RAYMND 2-046,Active
9737,AECH,110,2,Laboratory,0,General Chemistry 1.,F,09:35 AM-12:25 PM,50,0,0,0,Alice D Cherestes,09/03-12/03,MACSTW B-031,Active
9738,AECH,110,3,Laboratory,0,General Chemistry 1.,T,02:35 PM-05:25 PM,50,0,0,0,Alice D Cherestes,09/03-12/02,MACSTW B-031,Active
17319,AECH,110,4,Laboratory,0,General Chemistry 1.,R,02:35 PM-05:25 PM,50,0,0,0,Alice D Cherestes,09/03-12/03,MACSTW B-031,Active
17320,AECH,110,5,Tutorial,0,General Chemistry 1.,F,12:35 PM-01:25 PM,65,0,0,0,Alice D Cherestes,09/03-12/03,MACSTW B-016,Active
17318,AECH,110,6,Tutorial,0,General Chemistry 1.,F,01:35 PM-02:25 PM,65,0,0,0,Alice D Cherestes,09/03-12/03,MACSTW B-016,Active
12265,AECH,118,1,Laboratory,1,General Chemistry Laboratory 1.,,TBA,10,0,0,0,Alice D Cherestes,09/03-12/03,MACSTW B-031,Active
English (Agric & Envir Sc),,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
9807,AEHM,205,1,Lecture,3,Science Literacy.,MWF,12:35 PM-01:25 PM,55,0,0,0,"Natalie Heather  Waters, Carole  Newman",09/03-12/03,RAYMND 4-045,Active
,,,,,,,T,12:35 PM-01:25 PM,,,,,"Natalie Heather  Waters, Carole  Newman",12/03-12/03,RAYMND 4-045,Active
9822,AEHM,205,2,Laboratory,0,Science Literacy.,R,02:35 PM-05:25 PM,49,0,0,0,"Natalie Heather  Waters, Carole  Newman",09/03-12/03,MACSTW 2-029,Active
,,,,,,,R,02:35 PM-05:25 PM,,,,,"Natalie Heather  Waters, Carole  Newman",09/03-12/03,MACSTW 2-028,Active
13859,AEHM,205,3,Break-Out Room,0,Science Literacy.,R,02:35 PM-05:25 PM,25,0,0,0,"Natalie Heather  Waters, Carole  Newman",09/03-12/03,RAYMND 3-037,Registration Not Required
13860,AEHM,205,4,Break-Out Room,0,Science Literacy.,TBA,TBA,25,0,0,0,TBA,09/03-12/03,TBA,Cancelled
1323,AEHM,330,1,Lecture,3,Academic and Scientific Writing.,MW,08:35 AM-09:55 AM,20,0,0,0,Carole  Newman,09/03-12/03,MACSTW 2-026,Active
,,,,,,,T,08:35 AM-09:55 AM,,,,,Carole  Newman,12/03-12/03,MACSTW 2-026,Active
Mathematics (Agric&Envir Sci),,,,,,,,,,,,,,,,
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1416,AEMA,101,1,Lecture,3,Calculus 1.,MW,01:05 PM-02:25 PM,135,0,0,0,John F  Hayes,09/03-12/03,RAYMND 2-046,Active
,,,,,,,T,01:05 PM-02:25 PM,,,,,John F  Hayes,12/03-12/03,RAYMND 2-046,Active
